"URDP02LC.Code.or.Value","URDP02LC.Value.Description","URDP02LC.Count","URDP02LC.Cumulative","URDP02LC.Skip.to.Item"
"0","At or above the detection limit",2530,2530,NA
"1","below lower detection limit",1,2531,NA
".","Missing",187,2718,NA
