"DS1IIODI.Code.or.Value","DS1IIODI.Value.Description","DS1IIODI.Count","DS1IIODI.Cumulative","DS1IIODI.Skip.to.Item"
"3.75 to 25000","Range of Values",1150,1150,NA
".","Missing",4808,5958,NA
