"LBDR61.Code.or.Value","LBDR61.Value.Description","LBDR61.Count","LBDR61.Cumulative","LBDR61.Skip.to.Item"
"1","Positive",128,128,NA
"2","Negative",1827,1955,NA
"3","Inadequate",15,1970,NA
".","Missing",274,2244,NA
