"AUXRR108.Code.or.Value","AUXRR108.Value.Description","AUXRR108.Count","AUXRR108.Cumulative","AUXRR108.Skip.to.Item"
"-44 to 87","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
