"WBXF059.Code.or.Value","WBXF059.Value.Description","WBXF059.Count","WBXF059.Cumulative","WBXF059.Skip.to.Item"
"2000 to 2000","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
