"DRD360.Code.or.Value","DRD360.Value.Description","DRD360.Count","DRD360.Cumulative","DRD360.Skip.to.Item"
"1","Yes",4338,4338,""
"2","No",2985,7323,"End of Section"
"7","Refused",33,7356,"End of Section"
"9","Don't know",45,7401,"End of Section"
".","Missing",1303,8704,""
