"AUXRR209.Code.or.Value","AUXRR209.Value.Description","AUXRR209.Count","AUXRR209.Cumulative","AUXRR209.Skip.to.Item"
"-114 to 73","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
