"URD24DLC.Code.or.Value","URD24DLC.Value.Description","URD24DLC.Count","URD24DLC.Cumulative","URD24DLC.Skip.to.Item"
"0","detectable result",811,811,NA
"1","below detectable limit",2092,2903,NA
".","Missing",249,3152,NA
