"PAD080.Code.or.Value","PAD080.Value.Description","PAD080.Count","PAD080.Cumulative","PAD080.Skip.to.Item"
"1 to 480","Range of Values",2183,2183,NA
"77777","Refused",0,2183,NA
"99999","Don't know",0,2183,NA
".","Missing",7005,9188,NA
