"LBXVME.Code.or.Value","LBXVME.Value.Description","LBXVME.Count","LBXVME.Cumulative","LBXVME.Skip.to.Item"
"0.0071 to 0.123","Range of Values",3027,3027,NA
".","Missing",462,3489,NA
