"LBXF09.Code.or.Value","LBXF09.Value.Description","LBXF09.Count","LBXF09.Cumulative","LBXF09.Skip.to.Item"
"6.22 to 57.06","Range of Values",1224,1224,NA
".","Missing",1323,2547,NA
