"DXXIAY.Code.or.Value","DXXIAY.Value.Description","DXXIAY.Count","DXXIAY.Cumulative","DXXIAY.Skip.to.Item"
"112.3 to 329.6","Range of Values",3293,3293,NA
".","Missing",415,3708,NA
