"DXXIMX.Code.or.Value","DXXIMX.Value.Description","DXXIMX.Count","DXXIMX.Cumulative","DXXIMX.Skip.to.Item"
"241.2 to 884.2","Range of Values",3300,3300,NA
".","Missing",408,3708,NA
