"DXXPT27X.Code.or.Value","DXXPT27X.Value.Description","DXXPT27X.Count","DXXPT27X.Cumulative","DXXPT27X.Skip.to.Item"
"460.6 to 1051.6","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
