"MCQ160A.Code.or.Value","MCQ160A.Value.Description","MCQ160A.Count","MCQ160A.Cumulative","MCQ160A.Skip.to.Item"
"1","Yes",1408,1408,"MCQ180A"
"2","No",3619,5027,""
"7","Refused",0,5027,""
"9","Don't know",13,5040,""
".","Missing",4605,9645,""
