"AUXLR182.Code.or.Value","AUXLR182.Value.Description","AUXLR182.Count","AUXLR182.Cumulative","AUXLR182.Skip.to.Item"
"-5 to 91","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
