"MCQ240I.Code.or.Value","MCQ240I.Value.Description","MCQ240I.Count","MCQ240I.Cumulative","MCQ240I.Skip.to.Item"
"52","52",1,1,NA
"80","80 years or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",9665,9666,NA
