"LBCBR6LA.Code.or.Value","LBCBR6LA.Value.Description","LBCBR6LA.Count","LBCBR6LA.Cumulative","LBCBR6LA.Skip.to.Item"
"0.5014 to 39.25","Range of Values",265,265,NA
".","Missing",0,265,NA
