"DR2TFIBE.Code.or.Value","DR2TFIBE.Value.Description","DR2TFIBE.Count","DR2TFIBE.Cumulative","DR2TFIBE.Skip.to.Item"
"0 to 104","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
