"DR2TLZ.Code.or.Value","DR2TLZ.Value.Description","DR2TLZ.Count","DR2TLZ.Cumulative","DR2TLZ.Skip.to.Item"
"0 to 142159","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
