"AUDTYR46.Code.or.Value","AUDTYR46.Value.Description","AUDTYR46.Count","AUDTYR46.Cumulative","AUDTYR46.Skip.to.Item"
"0 to 2.5","Range of Values",1682,1682,NA
".","Missing",125,1807,NA
