"DS1IVB6.Code.or.Value","DS1IVB6.Value.Description","DS1IVB6.Count","DS1IVB6.Cumulative","DS1IVB6.Skip.to.Item"
"0.02 to 200","Range of Values",1968,1968,NA
".","Missing",3755,5723,NA
