"URDP02LC.Code.or.Value","URDP02LC.Value.Description","URDP02LC.Count","URDP02LC.Cumulative","URDP02LC.Skip.to.Item"
"0","At or above the detection limit",2259,2259,NA
"1","below lower detection limit",0,2259,NA
".","Missing",90,2349,NA
