"DSQTCHOL.Code.or.Value","DSQTCHOL.Value.Description","DSQTCHOL.Count","DSQTCHOL.Cumulative","DSQTCHOL.Skip.to.Item"
"0.01 to 125","Range of Values",492,492,NA
".","Missing",9479,9971,NA
