"LBXVCB.Code.or.Value","LBXVCB.Value.Description","LBXVCB.Count","LBXVCB.Cumulative","LBXVCB.Skip.to.Item"
"0.0078 to 0.0078","Range of Values",2749,2749,NA
".","Missing",666,3415,NA
