"AUXLR281.Code.or.Value","AUXLR281.Value.Description","AUXLR281.Count","AUXLR281.Cumulative","AUXLR281.Skip.to.Item"
"-20 to 112","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
