"DRD350A.Code.or.Value","DRD350A.Value.Description","DRD350A.Count","DRD350A.Cumulative","DRD350A.Skip.to.Item"
"1","Yes",486,486,""
"2","No",3995,4481,"DRD350B"
".","Missing",5772,10253,""
