"URDP10LC.Code.or.Value","URDP10LC.Value.Description","URDP10LC.Count","URDP10LC.Cumulative","URDP10LC.Skip.to.Item"
"0","At or above the detection limit",2024,2024,NA
"1","Below lower detection limit",626,2650,NA
".","Missing",105,2755,NA
