"DXXPT91X.Code.or.Value","DXXPT91X.Value.Description","DXXPT91X.Count","DXXPT91X.Cumulative","DXXPT91X.Skip.to.Item"
"53.2 to 698.9","Range of Values",3274,3274,NA
".","Missing",434,3708,NA
