"PAD680.Code.or.Value","PAD680.Value.Description","PAD680.Count","PAD680.Cumulative","PAD680.Skip.to.Item"
"0 to 1200","Range of Values",7476,7476,NA
"7777","Refused",0,7476,NA
"9999","Don't know",18,7494,NA
".","Missing",2277,9771,NA
