"SLQ200.Code.or.Value","SLQ200.Value.Description","SLQ200.Count","SLQ200.Cumulative","SLQ200.Skip.to.Item"
"1","Don't do this activity for other reasons",232,232,NA
"2","No difficulty",5082,5314,NA
"3","Yes, a little difficulty",675,5989,NA
"4","Yes, moderate difficulty",108,6097,NA
"5","Yes, extreme difficulty",36,6133,NA
"7","Refused",2,6135,NA
"9","Don't know",4,6139,NA
".","Missing",0,6139,NA
