"RHQ562.Code.or.Value","RHQ562.Value.Description","RHQ562.Count","RHQ562.Cumulative","RHQ562.Skip.to.Item"
"1","Yes",77,77,""
"2","No",410,487,"RHQ570"
"7","Refused",0,487,"RHQ570"
"9","Don't know",36,523,"RHQ570"
".","Missing",2961,3484,""
