"RFXC136.Code.or.Value","RFXC136.Value.Description","RFXC136.Count","RFXC136.Cumulative","RFXC136.Skip.to.Item"
"-4.58 to 6.64","Range of Values",51053,51053,NA
".","Missing",23,51076,NA
