"AUXRR277.Code.or.Value","AUXRR277.Value.Description","AUXRR277.Count","AUXRR277.Cumulative","AUXRR277.Skip.to.Item"
"-12 to 85","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
