"RFXC149.Code.or.Value","RFXC149.Value.Description","RFXC149.Count","RFXC149.Cumulative","RFXC149.Skip.to.Item"
"-6.653 to 7.588","Range of Values",33672,33672,NA
".","Missing",49,33721,NA
