"WBXP013.Code.or.Value","WBXP013.Value.Description","WBXP013.Count","WBXP013.Cumulative","WBXP013.Skip.to.Item"
"-51.1833 to 173.069","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
