"DXXL3A.Code.or.Value","DXXL3A.Value.Description","DXXL3A.Count","DXXL3A.Cumulative","DXXL3A.Skip.to.Item"
"8.83 to 25.39","Range of Values",1914,1914,NA
".","Missing",984,2898,NA
