"BPXSY3.Code.or.Value","BPXSY3.Value.Description","BPXSY3.Count","BPXSY3.Cumulative","BPXSY3.Skip.to.Item"
"74 to 222","Range of Values",6759,6759,NA
".","Missing",3003,9762,NA
