"CIQP36.Code.or.Value","CIQP36.Value.Description","CIQP36.Count","CIQP36.Cumulative","CIQP36.Skip.to.Item"
"0 to 105","Range of Values",50,50,NA
"900","900 +",0,50,NA
"7777","Refused",0,50,NA
"9999","Don't know",0,50,NA
".","Missing",878,928,NA
