"DRDINT.Code.or.Value","DRDINT.Value.Description","DRDINT.Count","DRDINT.Cumulative","DRDINT.Skip.to.Item"
"1","Day 1 only",20071,20071,NA
"2","Day 1 and day 2",130920,150991,NA
".","Missing",0,150991,NA
