"WTSOG2YR.Code.or.Value","WTSOG2YR.Value.Description","WTSOG2YR.Count","WTSOG2YR.Cumulative","WTSOG2YR.Skip.to.Item"
"14446.051556 to 565055.45969","Range of Values",2414,2414,NA
"0","No Lab Result",299,2713,NA
".","Missing",0,2713,NA
