"MCQ150G.Code.or.Value","MCQ150G.Value.Description","MCQ150G.Count","MCQ150G.Cumulative","MCQ150G.Skip.to.Item"
"1","Enter number",3244,3244,""
"2","Did not go to school",275,3519,"MCQ160A"
"7","Refused",0,3519,"MCQ160A"
"9","Don't know",7,3526,"MCQ160A"
".","Missing",5967,9493,""
