"DR2TSELE.Code.or.Value","DR2TSELE.Value.Description","DR2TSELE.Count","DR2TSELE.Cumulative","DR2TSELE.Skip.to.Item"
"0 to 665.8","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
