"MCQ100.Code.or.Value","MCQ100.Value.Description","MCQ100.Count","MCQ100.Cumulative","MCQ100.Skip.to.Item"
"1","Yes",6,6,""
"2","No",1982,1988,"MCQ120A"
"7","Refused",0,1988,"MCQ120A"
"9","Don't know",1,1989,"MCQ120A"
".","Missing",7504,9493,""
