"AUXU1K2R.Code.or.Value","AUXU1K2R.Value.Description","AUXU1K2R.Count","AUXU1K2R.Cumulative","AUXU1K2R.Skip.to.Item"
"-10 to 100","Range of Values",3855,3855,NA
"666","No response",1,3856,NA
"888","Could not obtain",17,3873,NA
".","Missing",627,4500,NA
