"WBXF003.Code.or.Value","WBXF003.Value.Description","WBXF003.Count","WBXF003.Cumulative","WBXF003.Skip.to.Item"
"280.6155 to 280.6155","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
