"AUXRR116.Code.or.Value","AUXRR116.Value.Description","AUXRR116.Count","AUXRR116.Cumulative","AUXRR116.Skip.to.Item"
"-54 to 42","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
