"RFXT043.Code.or.Value","RFXT043.Value.Description","RFXT043.Count","RFXT043.Cumulative","RFXT043.Skip.to.Item"
"363 to 371","Range of Values",51066,51066,NA
".","Missing",10,51076,NA
