"DR2IP226.Code.or.Value","DR2IP226.Value.Description","DR2IP226.Count","DR2IP226.Cumulative","DR2IP226.Skip.to.Item"
"0 to 3.932","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
