"BIXC143K.Code.or.Value","BIXC143K.Value.Description","BIXC143K.Count","BIXC143K.Cumulative","BIXC143K.Skip.to.Item"
"11.27 to 144.93","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
