"DBQ220a.Code.or.Value","DBQ220a.Value.Description","DBQ220a.Count","DBQ220a.Cumulative","DBQ220a.Skip.to.Item"
"10","Whole or regular,",4542,4542,NA
"77","Refused",0,4542,NA
"99","Don't know",21,4563,NA
".","Missing",5402,9965,NA
