"AUXLR141.Code.or.Value","AUXLR141.Value.Description","AUXLR141.Count","AUXLR141.Cumulative","AUXLR141.Skip.to.Item"
"-29 to 76","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
