"OSQ120d.Code.or.Value","OSQ120d.Value.Description","OSQ120d.Count","OSQ120d.Cumulative","OSQ120d.Skip.to.Item"
"1","Yes",24,24,""
"2","No",22,46,"OSQ060"
"7","Refused",0,46,"OSQ060"
"9","Don't know",0,46,"OSQ060"
".","Missing",5889,5935,""
