"AUDTYR52.Code.or.Value","AUDTYR52.Value.Description","AUDTYR52.Count","AUDTYR52.Cumulative","AUDTYR52.Skip.to.Item"
"0 to 2.84","Range of Values",1140,1140,NA
".","Missing",70,1210,NA
