"DS1DSCNT.Code.or.Value","DS1DSCNT.Value.Description","DS1DSCNT.Count","DS1DSCNT.Cumulative","DS1DSCNT.Skip.to.Item"
"0 to 17","Range of Values",8510,8510,NA
".","Missing",828,9338,NA
