"BPQ100A.Code.or.Value","BPQ100A.Value.Description","BPQ100A.Count","BPQ100A.Cumulative","BPQ100A.Skip.to.Item"
"1","Yes",876,876,NA
"2","No",193,1069,NA
"7","Refused",0,1069,NA
"9","Don't know",0,1069,NA
".","Missing",5565,6634,NA
