"URDUSBLC.Code.or.Value","URDUSBLC.Value.Description","URDUSBLC.Count","URDUSBLC.Cumulative","URDUSBLC.Skip.to.Item"
"0","At or above the detection limit",2065,2065,NA
"1","Below lower detection limit",599,2664,NA
".","Missing",91,2755,NA
