"AUXLR149.Code.or.Value","AUXLR149.Value.Description","AUXLR149.Count","AUXLR149.Cumulative","AUXLR149.Skip.to.Item"
"-44 to 55","Range of Values",1883,1883,NA
".","Missing",163,2046,NA
