"URXNO3.Code.or.Value","URXNO3.Value.Description","URXNO3.Count","URXNO3.Cumulative","URXNO3.Skip.to.Item"
"495 to 1050000","Range of Values",2467,2467,NA
".","Missing",127,2594,NA
