"RFXT022.Code.or.Value","RFXT022.Value.Description","RFXT022.Count","RFXT022.Cumulative","RFXT022.Skip.to.Item"
"177 to 186","Range of Values",33710,33710,NA
".","Missing",11,33721,NA
