"DX2RRBMC.Code.or.Value","DX2RRBMC.Value.Description","DX2RRBMC.Count","DX2RRBMC.Cumulative","DX2RRBMC.Skip.to.Item"
"35.13 to 164.17","Range of Values",443,443,NA
".","Missing",42,485,NA
