"URXUMN.Code.or.Value","URXUMN.Value.Description","URXUMN.Count","URXUMN.Cumulative","URXUMN.Skip.to.Item"
"0.057 to 18.09","Range of Values",2504,2504,NA
".","Missing",90,2594,NA
