"AUXLR278.Code.or.Value","AUXLR278.Value.Description","AUXLR278.Count","AUXLR278.Cumulative","AUXLR278.Skip.to.Item"
"-23 to 47","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
