"URDP17LC.Code.or.Value","URDP17LC.Value.Description","URDP17LC.Count","URDP17LC.Cumulative","URDP17LC.Skip.to.Item"
"0","At or above the detection limit",2746,2746,NA
"1","Below lower detection limit",1,2747,NA
".","Missing",72,2819,NA
